边城	The Border Town
翠翠不能忘记祖父所说的事情，梦中灵魂为一种美妙歌声浮起来了，彷佛轻轻的各处飘着，上了白塔，下了菜园，到了船上，又复飞窜过悬崖半腰－－去作什么呢？	She could not forget the things Grandpa had spoken of. In her dreams, her soul drifted up on the strains of beautiful songs, seeming gently to float all about, up to the white pagoda, down to the vegetable garden, onto the boat  then it flew back, midway up the hanging bluffs  but for what purpose?
摘虎耳草！白日里拉船时，她仰头望着崖上那些肥大虎耳草已极熟习。	To pick the "tigers' ears": saxifrage! While pulling the boat during the daylight hours, she looked up at those cliffs and became quite familiar with the huge saxifrage leaves there.
崖壁三五丈高，平时攀折不到手，这时节却可以选顶大的叶子作桑	The cliffs were thirty or fifty feet high, ordinarily too high to reach, but now she could pick the very biggest leaf and make an umbrella out of it.
一切皆像是祖父说的故事，翠翠只迷迷胡胡的躺在粗麻布帐子里草荐上，以为这梦做得顶美顶甜。	Everything was happening just as in Grandpa's stories.  Cuicui drifted off as she lay on a reed mat inside the burlap mosquito netting, taking pleasure in the beauty and sweetness of her dream.
祖父却在床上醒着，张起个耳朵听对溪高崖上的人唱了半夜的歌。	Grandpa, however, lay awake on his bed, straining his ears listening to late-night singing on the high cliffs across the stream.
他知道那是谁唱的，他知道是河街上天保大老走马路的第一着，又忧愁又快乐的听下去。	He knew who was singing: it was No. 1, Tianbao of River Street, making the horseman's move.  He listened, both troubled and excited.
翠翠因为日里哭倦了，睡得正好，他就不去惊动她。	Having worn herself out from crying during the day, Cuicui slept soundly, so Grandpa didn't disturb her.
第二天天一亮，翠翠就同祖父起身了，用溪水洗了脸，把早上说梦的忌讳去掉了，翠翠赶忙同祖父去说昨晚上所梦的事情。	Cuicui and Grandpa rose at dawn the next day and washed their faces in the creek to remove the taboo against telling one's dreams the morning after. Then Cuicui hastened to tell Grandpa what she had dreamed the night before.
「爷爷，你说唱歌，我昨天就在梦里听到一种顶好听的歌声，又软又缠绵，我像跟了这声音各处飞，飞到对溪悬崖半腰，摘了一大把虎耳草，得到了虎耳草，我可不知道把这个东西交给谁去了。	"Grandfather, you told me stories about singing, and yesterday I heard the most beautiful songs in my dreams, soft and sweet.  I felt I was able to fly in the air with these songs, to the face of the cliffs across the creek, where I picked a big saxifrage leaf.  But once I picked it, I don't know who I gave it to.
我睡得真好，梦的真有趣」	I slept wonderfully and dreamed magnificently!"
祖父温和悲悯的笑着，并不告给翠翠昨晚上的事实。	Grandpa smiled gently in sympathy, but did not tell Cuicui what had gone on the night before.
祖父心里想：「做梦一辈子更好，还有人在梦里作宰相中状元咧。」	He thought to himself: "If only you could dream on forever. Some people become the prime minister in their dreams."
昨晚上唱歌的，老船夫还以为是天保大老，日来便要翠翠守船，借故到城里去送药，探听情况。	The old ferryman still thought it was Tianbao, No. 1, who had sung the night before.  In recent days he had asked Cuicui to take charge of the ferry.  Pretending to be delivering some medicines in town, he set off to find out what River Street was up to.  There he ran into No. 1.
在河街见到了大老，就一把拉住那小伙子，很快乐的说：	He drew the young man aside, saying, cheerfully,
「大老，你这个人，又走车路又走马路，是怎样一个狡猾东西」	"No. 1, you dog, now you've tried both the chariot's move and the horseman's move. You're a sly one!"
但老船夫却作错了一件事情，把昨晚唱歌人「张冠李戴」了。	But the old ferryman was wrong  he had confused one brother with the other.
这两弟兄昨晚上同时到碧溪岨去，为了作哥哥的走车路占了先，无论如何也不肯先开腔唱歌，一定得让那弟弟先唱。	The night before, the two brothers had come to Green Creek Hill together. Because the elder brother had already made the first move, in the role of chariot, he insisted on letting his younger brother sing first this time.
弟弟一开口，哥哥却因为明知不是敌手，更不能开口了。	Realizing from the moment the latter raised his voice in song that he could never match him, No. 1 was more reluctant than ever to sing himself.
翠翠同她祖父晚上听到的歌声，便全是那个傩送二老所唱的。	The songs that Cuicui and her grandpa heard that night were all sung by No. 2, Nuosong.
大老伴弟弟回家时，就决定了同茶峒地方离开，驾家中那只新油船下驶，好忘却了上面的一切。	As No. 1 accompanied his younger brother home, he decided to leave Chadong and go downstream on the family's new oil boat, the better to forget what had happened.
这时正想下河去看新船装货。	Just now, No. 1 was thinking of going to the docks to see cargo loaded onto the new boat.
老船夫见他神情冷冷的，不明白他的意思，就用眉眼做了一个可笑的记号，表示他明白大老的冷淡是装成的，表示他有消息可以奉告。	Noting his cold expression, the old ferryman, misunderstanding, gave an amused wink to let on that he knew that No. 1's cold-shouldering was pretend, and also to show that he had good news to impart.
他拍了大老一下，轻轻的说：	He clapped No. 1 on the back and whispered, sticking his thumb up,
「你唱得很好，别人在梦里听着你那个歌，为那个歌带得很远，走了不少的路！	"You sang so well that someone heard your songs in her dreams. The songs carried her far, far away, on many journeys!
你是第一号，是我们地方唱歌第一号。」	You're the best, the very best singer around!"
大老望着弄渡船的老船夫涎皮的老脸，轻轻的说：	No. 1 stared back at the old boatman's unabashed expression and whispered:
「算了吧，你把宝贝女儿送给了会唱歌的竹雀吧。」	"Enough. You can keep your precious granddaughter for some songbird."
这句话使老船夫完全弄不明白它的意思。	The old ferryman had no idea what he meant by that.
大老从一个吊脚楼甬道走下河去了，老船夫也跟着下去。	No. 1 went down a path between the stilt houses to the river, with the ferryman following.
到了河边，见那只新船正在装货，许多油篓子搁到岸边。	At the river, numerous bamboo oil casks were on the bank, waiting to be laded onto the new boat.
一个水手正在用茅草扎成长束，备作船舷上挡浪用的茅把，还有人在河边用脂油擦桨板。	A boatman was twisting strands of cogongrass into sheaves to make bulwarks that would keep waves from washing over the deck.  Another man was sitting on a rock by the riverbank, greasing the oars with his hands.
老船夫问那个坐在大太阳下扎茅把的水手，这船什么日子下行，谁押船。	The old ferryman asked the boatman making the grass bundles when the boat would launch and who would pilot it.  The boatman pointed to No. 1.
